OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.157894736842105,0.1875,0.153846153846154,0.01
Var2,0.01,0.1875,0.25,0.142857142857143
Var3,0.0833333333333333,0.0625,0.99,0.25
Var4,0.0666666666666667,0.133333333333333,0.214285714285714,0.25
Var5,0.142857142857143,0.0714285714285714,0.01,0.0666666666666667
Var6,0.0714285714285714,0.125,0.0714285714285714,0.428571428571429
Var7,0.0666666666666667,0.01,0.25,0.01
Var8,0.235294117647059,0.153846153846154,0.230769230769231,0.3
Var9,0.0666666666666667,0.133333333333333,0.0476190476190476,0.111111111111111
Var10,0.01,0.0909090909090909,0.928571428571429,0.142857142857143
Var11,0.133333333333333,0.01,0.583333333333333,0.444444444444444
Var12,0.01,0.133333333333333,0.176470588235294,0.166666666666667
Var13,0.210526315789474,0.0666666666666667,0.416666666666667,0.01
Var14,0.0714285714285714,0.210526315789474,0.1875,0.125
Var15,0.117647058823529,0.01,0.99,0.2
Var16,0.0714285714285714,0.0769230769230769,0.125,0.0714285714285714
Var17,0.125,0.181818181818182,0.285714285714286,0.466666666666667
Var18,0.05,0.2,0.99,0.0666666666666667
Var19,0.142857142857143,0.181818181818182,0.01,0.166666666666667
Var20,0.230769230769231,0.0526315789473684,0.99,0.166666666666667
Var21,0.01,0.0625,0.99,0.0666666666666667
Var22,0.1,0.0555555555555556,0.176470588235294,0.0555555555555556
Var23,0.333333333333333,0.266666666666667,0.176470588235294,0.0666666666666667
Var24,0.0588235294117647,0.01,0.99,0.01
Var25,0.111111111111111,0.01,0.230769230769231,0.0833333333333333
Var26,0.15,0.01,0.99,0.0714285714285714
Var27,0.2,0.416666666666667,0.01,0.454545454545455
Var28,0.111111111111111,0.01,0.142857142857143,0.214285714285714
Var29,0.125,0.01,0.538461538461538,0.0769230769230769
Var30,0.0666666666666667,0.0526315789473684,0.176470588235294,0.133333333333333
