OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.3,0.5,0.125,0.01
Var2,0.01,0.25,0.222222222222222,0.111111111111111
Var3,0.166666666666667,0.0833333333333333,0.99,0.1
Var4,0.166666666666667,0.5,0.5,0.125
Var5,0.01,0.142857142857143,0.01,0.25
Var6,0.01,0.0909090909090909,0.142857142857143,0.5
Var7,0.0909090909090909,0.01,0.333333333333333,0.01
Var8,0.5,0.166666666666667,0.25,0.3
Var9,0.166666666666667,0.01,0.142857142857143,0.166666666666667
Var10,0.01,0.25,0.857142857142857,0.125
Var11,0.285714285714286,0.01,0.375,0.2
Var12,0.01,0.01,0.5,0.01
Var13,0.333333333333333,0.125,0.714285714285714,0.01
Var14,0.01,0.375,0.142857142857143,0.1
Var15,0.25,0.01,0.99,0.0909090909090909
Var16,0.01,0.125,0.125,0.01
Var17,0.2,0.1,0.5,0.714285714285714
Var18,0.01,0.666666666666667,0.99,0.125
Var19,0.125,0.2,0.01,0.25
Var20,0.222222222222222,0.166666666666667,0.99,0.142857142857143
Var21,0.01,0.125,0.916666666666667,0.01
Var22,0.0909090909090909,0.01,0.4,0.25
Var23,0.444444444444444,0.272727272727273,0.375,0.1
Var24,0.1,0.01,0.99,0.01
Var25,0.333333333333333,0.01,0.4,0.125
Var26,0.222222222222222,0.01,0.99,0.1
Var27,0.1,0.5,0.01,0.5
Var28,0.1,0.01,0.2,0.3
Var29,0.25,0.01,0.363636363636364,0.166666666666667
Var30,0.125,0.01,0.3,0.1
