OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.01,0.01,0.01,0.01
Var2,0.01,0.01,0.01,0.01
Var3,0.01,0.01,0.99,0.01
Var4,0.166666666666667,0.01,0.333333333333333,0.01
Var5,0.01,0.01,0.01,0.01
Var6,0.01,0.01,0.142857142857143,0.01
Var7,0.01,0.01,0.222222222222222,0.01
Var8,0.01,0.01,0.01,0.01
Var9,0.01,0.01,0.01,0.01
Var10,0.01,0.01,0.714285714285714,0.01
Var11,0.01,0.01,0.125,0.01
Var12,0.01,0.01,0.5,0.01
Var13,0.166666666666667,0.01,0.428571428571429,0.01
Var14,0.01,0.01,0.142857142857143,0.01
Var15,0.01,0.01,0.777777777777778,0.01
Var16,0.01,0.01,0.01,0.01
Var17,0.01,0.01,0.333333333333333,0.01
Var18,0.01,0.01,0.99,0.01
Var19,0.01,0.01,0.01,0.01
Var20,0.01,0.01,0.99,0.142857142857143
Var21,0.01,0.01,0.666666666666667,0.01
Var22,0.01,0.01,0.01,0.01
Var23,0.01,0.01,0.25,0.01
Var24,0.01,0.01,0.99,0.01
Var25,0.01,0.01,0.2,0.01
Var26,0.01,0.01,0.99,0.01
Var27,0.01,0.01,0.01,0.01
Var28,0.01,0.01,0.01,0.01
Var29,0.125,0.01,0.181818181818182,0.01
Var30,0.01,0.01,0.2,0.01
