OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_lag_hit_rates_collapsed1,0.99,0.777777777777778,0.666666666666667,0.857142857142857,0.3,0.5,0.625,0.7
all_lag_hit_rates_collapsed2,0.571428571428571,0.769230769230769,0.8,0.8,0.777777777777778,0.75,0.888888888888889,0.666666666666667
all_lag_hit_rates_collapsed3,0.7,0.8,0.666666666666667,0.75,0.833333333333333,0.666666666666667,0.333333333333333,0.4
all_lag_hit_rates_collapsed4,0.99,0.8,0.99,0.875,0.5,0.75,0.666666666666667,0.875
all_lag_hit_rates_collapsed5,0.714285714285714,0.428571428571429,0.99,0.833333333333333,0.2,0.428571428571429,0.99,0.75
all_lag_hit_rates_collapsed6,0.6,0.785714285714286,0.666666666666667,0.99,0.5,0.454545454545455,0.571428571428571,0.75
all_lag_hit_rates_collapsed7,0.8,0.857142857142857,0.99,0.8,0.545454545454545,0.916666666666667,0.555555555555556,0.7
all_lag_hit_rates_collapsed8,0.714285714285714,0.714285714285714,0.99,0.99,0.333333333333333,0.666666666666667,0.625,0.9
all_lag_hit_rates_collapsed9,0.99,0.75,0.99,0.99,0.333333333333333,0.6,0.714285714285714,0.5
all_lag_hit_rates_collapsed10,0.9,0.666666666666667,0.727272727272727,0.666666666666667,0.777777777777778,0.25,0.571428571428571,0.625
all_lag_hit_rates_collapsed11,0.714285714285714,0.99,0.99,0.928571428571429,0.857142857142857,0.555555555555556,0.625,0.5
all_lag_hit_rates_collapsed12,0.875,0.99,0.666666666666667,0.625,0.5,0.285714285714286,0.5,0.333333333333333
all_lag_hit_rates_collapsed13,0.833333333333333,0.833333333333333,0.5,0.777777777777778,0.666666666666667,0.5,0.428571428571429,0.8
all_lag_hit_rates_collapsed14,0.5,0.777777777777778,0.99,0.857142857142857,0.357142857142857,0.625,0.857142857142857,0.7
all_lag_hit_rates_collapsed15,0.666666666666667,0.99,0.99,0.75,0.5,0.99,0.777777777777778,0.545454545454545
all_lag_hit_rates_collapsed16,0.99,0.833333333333333,0.8,0.6,0.571428571428571,0.625,0.625,0.99
all_lag_hit_rates_collapsed17,0.571428571428571,0.99,0.5,0.833333333333333,0.4,0.8,0.99,0.714285714285714
all_lag_hit_rates_collapsed18,0.666666666666667,0.99,0.909090909090909,0.99,0.99,0.666666666666667,0.666666666666667,0.75
all_lag_hit_rates_collapsed19,0.727272727272727,0.857142857142857,0.888888888888889,0.99,0.375,0.3,0.555555555555556,0.75
all_lag_hit_rates_collapsed20,0.99,0.875,0.818181818181818,0.888888888888889,0.666666666666667,0.833333333333333,0.777777777777778,0.428571428571429
all_lag_hit_rates_collapsed21,0.875,0.99,0.625,0.857142857142857,0.99,0.75,0.75,0.555555555555556
all_lag_hit_rates_collapsed22,0.909090909090909,0.99,0.6,0.8,0.181818181818182,0.5,0.4,0.25
all_lag_hit_rates_collapsed23,0.857142857142857,0.8,0.818181818181818,0.727272727272727,0.222222222222222,0.363636363636364,0.875,0.5
all_lag_hit_rates_collapsed24,0.636363636363636,0.99,0.99,0.8,0.5,0.5,0.8,0.777777777777778
all_lag_hit_rates_collapsed25,0.363636363636364,0.714285714285714,0.916666666666667,0.5,0.333333333333333,0.4,0.6,0.375
all_lag_hit_rates_collapsed26,0.444444444444444,0.99,0.545454545454545,0.99,0.333333333333333,0.777777777777778,0.625,0.6
all_lag_hit_rates_collapsed27,0.666666666666667,0.7,0.9,0.8,0.4,0.99,0.875,0.833333333333333
all_lag_hit_rates_collapsed28,0.666666666666667,0.9,0.875,0.333333333333333,0.5,0.6,0.99,0.6
all_lag_hit_rates_collapsed29,0.4,0.9,0.99,0.5,0.75,0.666666666666667,0.545454545454545,0.5
all_lag_hit_rates_collapsed30,0.99,0.99,0.4,0.666666666666667,0.75,0.8,0.6,0.3
