OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_lag_object_rates_collapsed1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed3,0.0277777777777778,0.01,0.01,0.01,0.0285714285714286,0.01,0.01,0.01
all_lag_object_rates_collapsed4,0.0285714285714286,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed5,0.0196078431372549,0.01,0.01,0.01,0.01,0.01,0.01,0.024390243902439
all_lag_object_rates_collapsed6,0.01,0.01,0.01,0.0303030303030303,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed10,0.01,0.01,0.0294117647058824,0.0256410256410256,0.01,0.01,0.0256410256410256,0.01
all_lag_object_rates_collapsed11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed12,0.01,0.01,0.01,0.0263157894736842,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed13,0.01,0.01,0.01,0.01,0.01,0.01,0.0285714285714286,0.0256410256410256
all_lag_object_rates_collapsed14,0.0285714285714286,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed15,0.01,0.01,0.01,0.01,0.01,0.0238095238095238,0.01,0.01
all_lag_object_rates_collapsed16,0.01,0.01,0.01,0.01,0.01,0.027027027027027,0.01,0.01
all_lag_object_rates_collapsed17,0.01,0.01,0.01,0.01,0.0256410256410256,0.01,0.01,0.01
all_lag_object_rates_collapsed18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed21,0.01,0.01,0.01,0.01,0.01,0.01,0.0263157894736842,0.01
all_lag_object_rates_collapsed22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed25,0.01,0.01,0.01,0.01,0.01,0.0303030303030303,0.01,0.01
all_lag_object_rates_collapsed26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lag_object_rates_collapsed30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
