OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.01,0.01,0.0526315789473684,0.01
Var2,0.01,0.0714285714285714,0.0625,0.0714285714285714
Var3,0.01,0.01,0.315789473684211,0.25
Var4,0.01,0.01,0.01,0.0714285714285714
Var5,0.0909090909090909,0.01,0.01,0.01
Var6,0.0909090909090909,0.0833333333333333,0.01,0.111111111111111
Var7,0.01,0.01,0.01,0.01
Var8,0.0588235294117647,0.0588235294117647,0.0625,0.01
Var9,0.01,0.105263157894737,0.01,0.0625
Var10,0.01,0.01,0.35,0.125
Var11,0.01,0.01,0.25,0.111111111111111
Var12,0.01,0.133333333333333,0.0526315789473684,0.125
Var13,0.01,0.01,0.01,0.01
Var14,0.1,0.0625,0.105263157894737,0.0666666666666667
Var15,0.01,0.01,0.5,0.153846153846154
Var16,0.0588235294117647,0.01,0.0714285714285714,0.0476190476190476
Var17,0.0526315789473684,0.0625,0.05,0.1
Var18,0.0555555555555556,0.01,0.266666666666667,0.01
Var19,0.0666666666666667,0.01,0.01,0.01
Var20,0.0526315789473684,0.01,0.142857142857143,0.0833333333333333
Var21,0.01,0.01,0.555555555555556,0.0714285714285714
Var22,0.01,0.0476190476190476,0.0555555555555556,0.01
Var23,0.01,0.0909090909090909,0.01,0.01
Var24,0.01,0.01,0.363636363636364,0.01
Var25,0.01,0.01,0.0714285714285714,0.01
Var26,0.0588235294117647,0.01,0.526315789473684,0.01
Var27,0.0526315789473684,0.133333333333333,0.01,0.0909090909090909
Var28,0.0625,0.01,0.0526315789473684,0.01
Var29,0.01,0.01,0.2,0.01
Var30,0.01,0.0588235294117647,0.01,0.0714285714285714
