OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_lead_hit_rates_collapsed1,0.80952380952381,0.875,0.933333333333333,0.85,0.615384615384615,0.947368421052632,0.842105263157895,0.99
all_lead_hit_rates_collapsed2,0.99,0.99,0.9,0.944444444444444,0.888888888888889,0.714285714285714,0.6875,0.99
all_lead_hit_rates_collapsed3,0.99,0.99,0.99,0.99,0.99,0.99,0.947368421052632,0.99
all_lead_hit_rates_collapsed4,0.928571428571429,0.99,0.99,0.99,0.857142857142857,0.823529411764706,0.75,0.714285714285714
all_lead_hit_rates_collapsed5,0.923076923076923,0.785714285714286,0.857142857142857,0.888888888888889,0.590909090909091,0.85,0.8,0.789473684210526
all_lead_hit_rates_collapsed6,0.923076923076923,0.9,0.647058823529412,0.789473684210526,0.545454545454545,0.833333333333333,0.75,0.777777777777778
all_lead_hit_rates_collapsed7,0.99,0.99,0.833333333333333,0.99,0.875,0.99,0.733333333333333,0.99
all_lead_hit_rates_collapsed8,0.642857142857143,0.99,0.9375,0.944444444444444,0.647058823529412,0.882352941176471,0.875,0.833333333333333
all_lead_hit_rates_collapsed9,0.733333333333333,0.99,0.833333333333333,0.85,0.333333333333333,0.894736842105263,0.785714285714286,0.6875
all_lead_hit_rates_collapsed10,0.923076923076923,0.99,0.733333333333333,0.952380952380952,0.99,0.833333333333333,0.75,0.8125
all_lead_hit_rates_collapsed11,0.823529411764706,0.866666666666667,0.99,0.846153846153846,0.533333333333333,0.99,0.6875,0.833333333333333
all_lead_hit_rates_collapsed12,0.941176470588235,0.9375,0.947368421052632,0.846153846153846,0.533333333333333,0.8,0.684210526315789,0.75
all_lead_hit_rates_collapsed13,0.9375,0.95,0.99,0.99,0.7,0.99,0.941176470588235,0.857142857142857
all_lead_hit_rates_collapsed14,0.777777777777778,0.888888888888889,0.764705882352941,0.733333333333333,0.2,0.5625,0.99,0.733333333333333
all_lead_hit_rates_collapsed15,0.99,0.947368421052632,0.9375,0.99,0.99,0.722222222222222,0.857142857142857,0.99
all_lead_hit_rates_collapsed16,0.99,0.944444444444444,0.99,0.99,0.823529411764706,0.99,0.99,0.904761904761905
all_lead_hit_rates_collapsed17,0.99,0.99,0.95,0.99,0.842105263157895,0.9375,0.85,0.65
all_lead_hit_rates_collapsed18,0.947368421052632,0.941176470588235,0.99,0.99,0.944444444444444,0.807692307692308,0.99,0.947368421052632
all_lead_hit_rates_collapsed19,0.99,0.882352941176471,0.833333333333333,0.857142857142857,0.333333333333333,0.866666666666667,0.99,0.8
all_lead_hit_rates_collapsed20,0.944444444444444,0.99,0.99,0.99,0.894736842105263,0.904761904761905,0.99,0.833333333333333
all_lead_hit_rates_collapsed21,0.947368421052632,0.785714285714286,0.882352941176471,0.75,0.875,0.99,0.444444444444444,0.571428571428571
all_lead_hit_rates_collapsed22,0.666666666666667,0.857142857142857,0.928571428571429,0.99,0.352941176470588,0.761904761904762,0.722222222222222,0.8
all_lead_hit_rates_collapsed23,0.9375,0.99,0.8,0.947368421052632,0.6875,0.99,0.857142857142857,0.9375
all_lead_hit_rates_collapsed24,0.99,0.99,0.8125,0.928571428571429,0.928571428571429,0.875,0.818181818181818,0.846153846153846
all_lead_hit_rates_collapsed25,0.99,0.941176470588235,0.8,0.705882352941177,0.588235294117647,0.842105263157895,0.714285714285714,0.470588235294118
all_lead_hit_rates_collapsed26,0.941176470588235,0.666666666666667,0.99,0.941176470588235,0.823529411764706,0.99,0.99,0.923076923076923
all_lead_hit_rates_collapsed27,0.928571428571429,0.99,0.857142857142857,0.99,0.526315789473684,0.666666666666667,0.99,0.772727272727273
all_lead_hit_rates_collapsed28,0.99,0.99,0.99,0.99,0.625,0.9375,0.789473684210526,0.764705882352941
all_lead_hit_rates_collapsed29,0.75,0.75,0.928571428571429,0.714285714285714,0.75,0.875,0.6,0.692307692307692
all_lead_hit_rates_collapsed30,0.99,0.833333333333333,0.99,0.99,0.894736842105263,0.941176470588235,0.882352941176471,0.857142857142857
