OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_lead_object_rates_collapsed1,0.01,0.01,0.01,0.0149253731343284,0.01,0.01,0.0128205128205128,0.01
all_lead_object_rates_collapsed2,0.01,0.01,0.01,0.01,0.01,0.01,0.0117647058823529,0.01
all_lead_object_rates_collapsed3,0.01,0.01,0.01,0.01,0.01,0.01,0.025974025974026,0.01
all_lead_object_rates_collapsed4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed5,0.0136986301369863,0.0119047619047619,0.01,0.01,0.01,0.0135135135135135,0.01,0.01
all_lead_object_rates_collapsed6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed7,0.0117647058823529,0.0117647058823529,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed8,0.0114942528735632,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed9,0.01,0.01,0.0111111111111111,0.01,0.01,0.0128205128205128,0.0120481927710843,0.01
all_lead_object_rates_collapsed10,0.0240963855421687,0.0142857142857143,0.0119047619047619,0.0128205128205128,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed12,0.01,0.01,0.01,0.01,0.01,0.01,0.0121951219512195,0.01
all_lead_object_rates_collapsed13,0.01,0.01,0.01,0.01,0.01,0.0123456790123457,0.01,0.01
all_lead_object_rates_collapsed14,0.0114942528735632,0.0147058823529412,0.01,0.01,0.01,0.0133333333333333,0.01,0.0273972602739726
all_lead_object_rates_collapsed15,0.01,0.01,0.01,0.01,0.01,0.01,0.0133333333333333,0.01
all_lead_object_rates_collapsed16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed18,0.01,0.01,0.01,0.01,0.0117647058823529,0.01,0.0113636363636364,0.01
all_lead_object_rates_collapsed19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed20,0.01,0.01,0.01,0.01,0.01,0.01,0.0113636363636364,0.01
all_lead_object_rates_collapsed21,0.01,0.0120481927710843,0.0131578947368421,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed22,0.01,0.0106382978723404,0.01,0.0285714285714286,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed23,0.0153846153846154,0.01,0.01,0.0133333333333333,0.0352941176470588,0.01,0.01,0.01
all_lead_object_rates_collapsed24,0.01,0.01,0.01,0.01,0.0112359550561798,0.0121951219512195,0.0227272727272727,0.01
all_lead_object_rates_collapsed25,0.0123456790123457,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed26,0.01,0.0116279069767442,0.0133333333333333,0.01,0.01,0.01,0.0125,0.01
all_lead_object_rates_collapsed27,0.01,0.0120481927710843,0.0136986301369863,0.01,0.01,0.01,0.01,0.01
all_lead_object_rates_collapsed28,0.01,0.01,0.01,0.01,0.01,0.0117647058823529,0.01,0.01
all_lead_object_rates_collapsed29,0.01,0.01,0.01,0.01,0.01,0.01,0.0144927536231884,0.01
all_lead_object_rates_collapsed30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
