OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_object_rates_collapsed1,0.01,0.01,0.01,0.027027027027027,0.01,0.01,0.0434782608695652,0.01
all_object_rates_collapsed2,0.01,0.01,0.01,0.01,0.01,0.01,0.0434782608695652,0.01
all_object_rates_collapsed3,0.0294117647058824,0.01,0.01,0.01,0.037037037037037,0.01,0.0869565217391304,0.01
all_object_rates_collapsed4,0.0263157894736842,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed5,0.0512820512820513,0.0277777777777778,0.01,0.01,0.01,0.0454545454545455,0.01,0.0454545454545455
all_object_rates_collapsed6,0.01,0.01,0.01,0.0256410256410256,0.01,0.01,0.01,0.01
all_object_rates_collapsed7,0.0263157894736842,0.0232558139534884,0.01,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed8,0.0263157894736842,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed9,0.01,0.01,0.025,0.01,0.01,0.0476190476190476,0.0526315789473684,0.01
all_object_rates_collapsed10,0.0512820512820513,0.0238095238095238,0.0555555555555556,0.0588235294117647,0.01,0.01,0.0555555555555556,0.01
all_object_rates_collapsed11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed12,0.01,0.01,0.01,0.0303030303030303,0.01,0.01,0.0434782608695652,0.01
all_object_rates_collapsed13,0.01,0.01,0.01,0.01,0.01,0.037037037037037,0.05,0.0833333333333333
all_object_rates_collapsed14,0.0571428571428571,0.0294117647058824,0.01,0.01,0.01,0.0454545454545455,0.01,0.1
all_object_rates_collapsed15,0.01,0.01,0.01,0.01,0.01,0.0526315789473684,0.0384615384615385,0.01
all_object_rates_collapsed16,0.01,0.01,0.01,0.01,0.01,0.0526315789473684,0.01,0.01
all_object_rates_collapsed17,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01
all_object_rates_collapsed18,0.01,0.01,0.01,0.01,0.0588235294117647,0.01,0.0434782608695652,0.01
all_object_rates_collapsed19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed20,0.01,0.01,0.01,0.01,0.01,0.01,0.0434782608695652,0.01
all_object_rates_collapsed21,0.01,0.0263157894736842,0.0303030303030303,0.01,0.01,0.01,0.0476190476190476,0.01
all_object_rates_collapsed22,0.01,0.0263157894736842,0.01,0.0625,0.01,0.01,0.01,0.01
all_object_rates_collapsed23,0.0263157894736842,0.01,0.01,0.0333333333333333,0.136363636363636,0.01,0.01,0.01
all_object_rates_collapsed24,0.01,0.01,0.01,0.01,0.0476190476190476,0.04,0.0769230769230769,0.01
all_object_rates_collapsed25,0.0285714285714286,0.01,0.01,0.01,0.01,0.05,0.01,0.01
all_object_rates_collapsed26,0.01,0.0357142857142857,0.0303030303030303,0.01,0.01,0.01,0.0555555555555556,0.01
all_object_rates_collapsed27,0.01,0.0232558139534884,0.0294117647058824,0.01,0.01,0.01,0.01,0.01
all_object_rates_collapsed28,0.01,0.01,0.01,0.01,0.01,0.0526315789473684,0.01,0.01
all_object_rates_collapsed29,0.01,0.01,0.01,0.01,0.01,0.01,0.0416666666666667,0.01
all_object_rates_collapsed30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
